CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
3538,38,1,4,0,41.937638905,-87.83620975
3539,38,1,4,0,41.939263824,-87.83629673
3540,38,1,2,0,41.940521746,-87.8363549
3541,25,1,1,0,41.87117824,-87.63917616
3542,38,1,6,0,41.942958757,-87.83648872
3543,25,1,10,0,41.873469163,-87.63954955
3544,25,1,18,0,41.87433069,-87.63960074
3545,38,1,4,0,41.944848178,-87.83658373
3546,38,1,4,0,41.946667674,-87.83664498
3547,38,1,2,0,41.948486752,-87.8367062
3548,38,1,3,0,41.950308333,-87.83677594
3549,38,1,5,0,41.952142587,-87.83681427
3550,47,1,6,0,41.946897088,-87.66900309
3551,38,1,4,0,41.953966324,-87.83683853
3552,38,1,4,0,41.955760501,-87.8368344
3553,26,1,8,0,41.890756284,-87.68673705
3554,38,1,2,0,41.957603991,-87.83682124
3555,26,1,13,0,41.897605211,-87.68703654
3556,38,1,4,0,41.959386457,-87.83684592
3557,38,1,10,0,41.961376106,-87.83684231
3558,38,1,8,0,41.963142058,-87.83684102
3559,38,1,2,0,41.96490611,-87.83683497
3560,38,1,3,0,41.96652597,-87.8368294
3561,47,1,1,1,41.968765065,-87.67001783
3562,20,1,8,1,41.787058888,-87.63586814
3563,10,1,3,1,41.684498445,-87.54027608
3564,48,1,1,1,41.983903828,-87.65525746
3565,20,1,1,1,41.780841469,-87.5960648
3566,20,1,1,1,41.780330531,-87.59739105
3567,16,1,3,1,41.768237196,-87.66373572
3568,16,1,4,1,41.768672136,-87.663098
3569,20,1,6,1,41.801706719,-87.64462138
3570,14,1,6,1,41.799161714,-87.76966941
3571,49,1,1,1,42.013931189,-87.6639104
3572,49,1,1,1,42.014041132,-87.66397091
3573,49,1,3,1,42.013781552,-87.67038304
3574,49,1,11,1,42.010824436,-87.66998779
3575,10,1,6,1,41.70287716,-87.54599814
3576,10,1,14,1,41.719167394,-87.55595146
3577,10,1,16,1,41.709876533,-87.55380816
3578,22,1,39,1,41.837132671,-87.70496711
3579,45,1,1,1,41.948656636,-87.75483408
3580,48,1,6,1,41.998038442,-87.66430724
3581,15,1,11,1,41.813799012,-87.69688883
3582,16,1,1,1,41.76901213,-87.65407431
3583,35,1,1,1,41.9247283,-87.71583395
3584,35,1,6,1,41.939154412,-87.71322396
3585,35,1,15,1,41.939417382,-87.70992512
3586,35,1,5,1,41.923856588,-87.71240649
3587,15,1,19,1,41.78964327,-87.67190039
3588,48,1,3,1,41.998123752,-87.65594698
3589,48,1,9,1,41.981843854,-87.66412749
3590,48,1,5,1,41.990803525,-87.66064499
3591,48,1,3,1,41.974159692,-87.65966186
3592,48,1,4,1,41.972155868,-87.65960768
3593,48,1,1,1,41.995367115,-87.65569816
3594,48,1,2,1,41.992998595,-87.6556245
3595,48,1,1,1,41.991922921,-87.65559056
3596,48,1,1,1,41.994336032,-87.66965117
3597,35,1,26,1,41.960298269,-87.71816
3598,25,1,8,1,41.874571061,-87.63501396
3599,25,1,3,1,41.874419145,-87.64227857
3600,20,1,1,1,41.804216241,-87.66063662
3601,2,1,1,4,41.912793335,-87.63365809
3602,2,1,2,3,41.901066829,-87.66314141
3603,46,1,2,3,41.954679583,-87.64928079
3604,1,1,12,3,41.910307502,-87.69914016
3605,4,1,3,3,41.878049843,-87.6298403
3606,32,1,9,3,41.920979403,-87.67788343
3607,32,1,2,3,41.912407042,-87.67765515
3608,31,1,5,3,41.927104211,-87.74722256
3609,1,1,5,3,41.909420031,-87.67619508
3610,16,1,3,2,41.786437175,-87.68397525
3611,30,1,1,2,41.943181957,-87.72928086
3612,42,1,1,2,41.886683522,-87.63682295
3613,42,1,1,2,41.883926966,-87.63227872
3614,15,1,12,2,41.808618522,-87.67481801
3615,16,1,4,2,41.786296943,-87.6912987
3616,42,1,20,2,41.880770665,-87.62448302
3617,31,1,8,1,41.942871358,-87.74712183
3618,25,1,5,1,41.854910472,-87.68556899
3619,30,1,2,12,41.944908093,-87.72768144
3620,35,1,3,11,41.930666085,-87.71946145
3621,35,1,32,10,41.924403748,-87.71522798
3622,35,1,1,9,41.92493238,-87.71592621
3623,10,1,14,9,41.717987151,-87.56479253
3624,10,1,5,9,41.720572855,-87.56453937
3625,10,1,16,9,41.695390893,-87.54119007
3626,10,1,13,9,41.685511121,-87.53391214
3627,10,1,4,9,41.694890405,-87.53875663
3628,35,1,8,8,41.933782421,-87.70778381
3629,31,1,3,8,41.937781017,-87.74879933
3630,10,1,22,8,41.708934365,-87.53422463
3631,10,1,37,8,41.702851351,-87.52938564
3632,42,1,1,8,41.882066079,-87.63271029
3633,39,1,18,7,41.957431618,-87.72618681
3634,2,1,2,7,41.897506737,-87.68393948
3635,46,1,8,7,41.954545777,-87.65069277
3636,46,1,14,6,41.969052475,-87.64978868
3637,42,1,8,5,41.892444152,-87.63720038
3638,1,1,1,5,41.907258596,-87.67281319
3639,2,1,2,5,41.896664567,-87.62106144
3640,25,1,1,4,41.837965463,-87.68429032
3641,11,1,21,0,41.838056906,-87.65362568
3642,11,1,17,0,41.838023109,-87.65606554
3643,11,1,12,0,41.837986329,-87.65860702
3644,11,1,33,0,41.837958226,-87.66178886
3645,26,1,2,0,41.898355694,-87.69415746
3646,2,1,4,0,41.895933348,-87.67719992
3647,39,1,12,0,41.986664826,-87.71890904
3648,40,1,7,0,41.982550159,-87.70505165
3649,45,1,2,0,41.96793883,-87.74786914
3650,35,1,12,0,41.946704374,-87.71050106
3651,11,1,1,1,41.83968798,-87.64008634
3652,11,1,3,1,41.833159147,-87.6511723
3653,11,1,12,0,41.821610647,-87.64358807
3654,36,1,12,0,41.918767928,-87.74877127
3655,21,1,1,0,41.720863427,-87.64305251
3656,21,1,3,0,41.735970572,-87.65826818
3657,21,1,2,0,41.734222631,-87.64371259
3658,21,1,1,0,41.730498533,-87.65894581
3659,21,1,1,0,41.728487403,-87.6581437
3660,21,1,3,0,41.744944159,-87.65373715
3661,21,1,2,0,41.74312405,-87.65368441
3662,21,1,45,0,41.747018381,-87.65006576
3663,21,1,15,0,41.747001266,-87.65127714
3664,21,1,10,0,41.743485429,-87.62577156
3665,11,1,28,0,41.838122526,-87.64874233
3666,11,1,36,0,41.838088002,-87.65136101
3667,21,1,5,2,41.730193272,-87.65818738
3668,11,1,4,3,41.838009404,-87.64059241
3669,26,1,13,3,41.910224299,-87.70703651
3670,11,1,6,3,41.857981707,-87.64669421
3671,12,1,2,3,41.823145309,-87.6811621
3672,12,1,1,3,41.819732932,-87.6952726
3673,21,1,1,6,41.730741396,-87.64361228
3674,26,1,18,5,41.910013769,-87.70589191
3675,28,1,2,4,41.874941491,-87.68640616
3676,28,1,1,4,41.874388644,-87.65695889
3677,26,1,14,4,41.907822859,-87.73281561
3678,26,1,6,4,41.909960883,-87.72887496
3679,26,1,12,4,41.909756458,-87.72779272
3680,26,1,4,4,41.917301922,-87.72463456
3681,26,1,17,4,41.909833682,-87.72114846
3682,44,1,1,4,41.939833319,-87.65195465
3683,26,1,12,4,41.899378499,-87.69865004
3684,21,1,3,4,41.735768653,-87.65834927
3685,44,1,4,4,41.944354807,-87.65356618
3686,44,1,6,4,41.943451215,-87.65312175
3687,44,1,1,4,41.933502147,-87.63916555
3688,21,1,2,12,41.717939346,-87.64297193
3689,28,1,7,11,41.852141307,-87.68575264
3690,28,1,3,11,41.877302828,-87.70125379
3691,28,1,12,10,41.879810322,-87.70126119
3692,28,1,2,10,41.885624047,-87.74286297
3693,50,1,2,0,42.006890339,-87.69994416
3694,50,1,6,0,42.019199413,-87.70021521
3695,50,1,1,0,42.001006581,-87.70476309
3696,50,1,1,0,42.001092022,-87.69980143
3697,50,1,12,0,41.999415637,-87.70418356
3698,50,1,2,0,41.999401688,-87.7048964
3699,38,1,16,0,41.959467507,-87.83684205
3700,46,1,1,0,41.954059704,-87.65468014
3701,46,1,15,0,41.960477192,-87.64998843
3702,50,1,1,0,42.003227556,-87.69964452
3703,50,1,1,0,42.008525171,-87.70196144
3704,50,1,2,0,42.011977156,-87.70867163
3705,12,1,5,0,41.822124201,-87.68770164
3706,50,1,5,0,42.017273907,-87.70569818
3707,12,1,1,0,41.822129811,-87.68739913
3708,50,1,9,0,42.017535526,-87.70363928
3709,12,1,1,0,41.822862314,-87.6862427
3710,12,1,8,0,41.820731316,-87.68618492
3711,15,1,2,0,41.815533564,-87.68808795
3712,15,1,15,0,41.81364281,-87.69371465
3713,50,1,11,0,42.017580889,-87.70149741
3714,50,1,6,0,42.015879581,-87.70185852
3715,50,1,19,0,42.013693034,-87.70333698
3716,12,1,35,0,41.822882295,-87.68744005
3717,50,1,7,0,42.012078205,-87.70428306
3718,50,1,3,0,41.999365349,-87.70594816
3719,12,1,7,0,41.828552222,-87.66662882
3720,50,1,4,0,42.002476709,-87.70566413
3721,50,1,2,0,42.004862349,-87.70466654
3722,50,1,1,0,42.001682803,-87.70326199
3723,50,1,1,0,42.00104912,-87.70355004
3724,36,1,4,0,41.923727862,-87.79284682
3725,36,1,2,0,41.923708193,-87.79530078
3726,47,1,7,0,41.944620244,-87.66894466
3727,44,1,1,0,41.938708963,-87.63964621
3728,47,1,4,0,41.946738596,-87.67970312
3729,43,1,1,0,41.93267988,-87.6454252
3730,36,1,6,0,41.94593275,-87.77175303
3731,47,1,4,0,41.946718692,-87.6812074
3732,44,1,2,0,41.945745706,-87.64195455
3733,30,1,1,0,41.924090199,-87.76605353
3734,47,1,6,0,41.945038787,-87.67017454
3735,30,1,3,0,41.924014029,-87.77091794
3736,47,1,2,0,41.945143462,-87.67898611
3737,30,1,1,0,41.924014029,-87.77091794
3738,47,1,1,0,41.945118371,-87.6809922
3739,47,1,2,0,41.948699378,-87.68594504
3740,47,1,1,0,41.948544189,-87.68108869
3741,47,1,1,0,41.952376923,-87.68362119
3742,32,1,5,0,41.94263948,-87.67858424
3743,30,1,5,0,41.923897722,-87.77821098
3744,32,1,4,0,41.939458982,-87.67869976
3745,27,1,15,0,41.875125895,-87.66677177
3746,44,1,6,0,41.942305419,-87.64010536
3747,30,1,3,0,41.923860758,-87.78064086
3748,36,1,2,0,41.923786189,-87.78556721
3749,46,1,82,0,41.965697086,-87.6478877
3750,47,1,47,0,41.939547842,-87.69069901
3751,36,1,2,0,41.923766951,-87.78791973
3752,46,1,8,0,41.965319684,-87.65485509
3753,30,1,2,0,41.923824717,-87.78307748
3754,35,1,25,0,41.953710991,-87.71542055
3755,7,1,1,0,41.733533629,-87.56081918
